Date,Open,High,Low,Close,Adj Close,Volume
2020-11-23,179.250000,181.990005,178.729996,180.820007,179.649277,24816000
2020-11-24,183.389999,185.440002,182.360001,184.220001,183.027252,34945400
2020-11-25,183.500000,184.309998,181.889999,183.589996,182.401337,21082700
2020-11-27,183.720001,184.490005,183.220001,184.369995,183.176285,10384400
2020-11-30,183.820007,184.320007,180.320007,181.020004,179.847992,25481600
2020-12-01,183.600006,184.220001,181.020004,182.699997,181.517090,30265000
2020-12-02,181.949997,183.479996,180.759995,182.889999,181.705872,20142800
2020-12-03,183.339996,185.179993,182.940002,183.919998,182.729218,19603600
2020-12-04,185.020004,188.449997,183.919998,188.199997,186.981491,24415700
2020-12-07,188.229996,188.949997,187.440002,188.380005,187.160339,14671500
2020-12-08,187.119995,190.979996,187.080002,190.800003,189.564651,20165600
2020-12-09,192.020004,192.809998,187.899994,189.410004,188.183670,29507600
2020-12-10,187.759995,191.649994,187.309998,191.240005,190.001816,21245300
2020-12-11,189.990005,191.720001,188.300003,190.300003,189.067902,30865000
2020-12-14,191.960007,193.119995,189.880005,189.929993,189.289139,32237700
2020-12-15,191.759995,194.899994,190.729996,194.679993,194.023117,26807000
2020-12-16,195.130005,195.210007,192.960007,193.979996,193.325485,25494600
2020-12-17,194.729996,196.380005,194.059998,196.289993,195.627686,23834200
2020-12-18,196.610001,197.830002,194.800003,195.339996,194.680893,37033400
2020-12-21,191.899994,195.779999,191.479996,195.240005,194.581238,30873000
2020-12-22,195.990005,197.720001,195.389999,197.460007,196.793762,21919700
2020-12-23,198.570007,199.649994,197.899994,199.139999,198.468063,18392000
2020-12-24,199.929993,199.940002,198.059998,199.009995,198.338501,8904900
2020-12-28,201.160004,201.179993,198.130005,198.270004,197.601013,27168400
2020-12-29,198.639999,199.000000,193.440002,194.429993,193.773956,33901300
2020-12-30,195.050003,197.479996,195.029999,196.410004,195.747299,20595700
2020-12-31,196.619995,196.839996,194.619995,196.059998,195.398453,24747700
2021-01-04,197.539993,197.889999,190.940002,193.500000,192.847107,33664200
2021-01-05,193.089996,197.619995,193.070007,196.490005,195.827026,27442900
2021-01-06,199.479996,206.779999,199.160004,204.529999,203.839890,52952200
2021-01-07,205.710007,208.520004,205.699997,208.169998,207.467606,24031400
2021-01-08,209.320007,209.770004,204.660004,207.720001,207.019119,29017000
2021-01-11,205.089996,208.119995,204.830002,207.539993,206.839722,20945100
2021-01-12,208.520004,211.389999,208.490005,211.259995,210.547180,24892200
2021-01-13,211.429993,211.729996,209.190002,209.750000,209.042267,22782200
2021-01-14,211.240005,215.000000,211.130005,213.940002,213.218140,33913700
2021-01-15,210.809998,213.960007,208.259995,210.750000,210.038895,41043500
2021-01-19,213.339996,213.610001,211.720001,213.449997,212.729797,19744300
2021-01-20,214.360001,215.979996,213.070007,214.389999,213.666611,25474200
2021-01-21,214.970001,215.160004,211.949997,212.529999,211.812897,21180500
2021-01-22,210.490005,215.330002,209.550003,215.000000,214.274551,24800200
2021-01-25,214.929993,217.910004,211.600006,214.789993,214.065262,33985000
2021-01-26,216.300003,216.690002,212.770004,213.300003,212.580292,23969800
2021-01-27,209.500000,212.990005,207.289993,209.389999,208.683487,45830300
2021-01-28,210.839996,212.369995,207.630005,208.720001,208.015762,32202500
2021-01-29,209.729996,210.990005,204.839996,205.559998,204.866409,40591900
2021-02-01,208.169998,211.570007,205.759995,210.610001,209.899368,26375100
2021-02-02,213.149994,214.050003,210.889999,213.610001,212.889252,22773100
2021-02-03,213.699997,214.740005,211.589996,214.250000,213.527084,23923200
2021-02-04,215.089996,218.830002,215.080002,218.619995,217.882339,25400800
2021-02-05,220.940002,221.839996,218.770004,221.649994,220.902115,23338800
2021-02-08,223.789993,227.330002,223.399994,227.309998,226.543015,20831500
2021-02-09,227.130005,229.619995,226.309998,228.380005,227.609421,19510900
2021-02-10,229.919998,230.320007,224.949997,226.880005,226.114487,27955400
2021-02-11,228.139999,229.000000,223.419998,226.619995,225.855347,25847600
2021-02-12,225.929993,227.740005,224.639999,227.259995,226.493179,17440200
2021-02-16,229.470001,229.630005,224.789993,225.830002,225.068024,22999500
2021-02-17,223.610001,224.740005,220.960007,224.059998,223.303986,25042300
2021-02-18,222.339996,222.899994,219.389999,220.589996,219.845703,24501500
2021-02-19,222.460007,226.300003,222.169998,225.190002,224.430191,31238200
2021-02-22,223.509995,226.389999,222.979996,223.729996,222.975098,23272100
2021-02-23,220.960007,222.979996,215.559998,221.759995,221.011749,38646800
2021-02-24,222.619995,227.449997,221.710007,227.000000,226.234070,27584900
2021-02-25,226.789993,227.589996,218.009995,218.610001,217.872375,49961400
2021-02-26,219.520004,222.229996,214.809998,218.309998,217.573395,47734200
2021-03-01,223.479996,226.710007,222.940002,226.070007,225.307205,26161000
2021-03-02,225.789993,225.960007,221.550003,221.720001,220.971893,26895400
2021-03-03,222.419998,224.259995,219.210007,219.320007,218.580002,33407600
2021-03-04,218.509995,220.690002,209.429993,213.190002,212.470657,59126500
