Date,Open,High,Low,Close,Adj Close,Volume
2020-10-27,281.500000,283.510010,280.200012,282.660004,281.466187,30559100
2020-10-28,278.010010,278.640015,271.380005,271.640015,270.492706,53413500
2020-10-29,273.000000,279.489990,272.519989,276.390015,275.222687,43246300
2020-10-30,274.339996,275.239990,267.070007,269.380005,268.242279,65838300
2020-11-02,271.850006,273.519989,266.970001,269.980011,268.839752,39987400
2020-11-03,271.959991,276.820007,270.839996,274.649994,273.489990,43604100
2020-11-04,283.589996,288.769989,281.869995,286.910004,285.698212,75728200
2020-11-05,293.529999,295.390015,292.000000,294.390015,293.146637,52054200
2020-11-06,293.709991,295.359985,289.829987,294.609985,293.365692,40959800
2020-11-09,297.649994,299.140015,288.119995,288.589996,287.371124,86537100
2020-11-10,285.170013,286.660004,280.619995,283.420013,282.222961,69024900
2020-11-11,286.029999,290.250000,283.380005,289.760010,288.536194,36102900
2020-11-12,290.760010,292.070007,287.250000,288.399994,287.181946,34414600
2020-11-13,290.170013,291.570007,287.869995,290.929993,289.701233,24806900
2020-11-16,290.619995,293.510010,289.989990,293.200012,291.961670,30168400
2020-11-17,293.399994,293.739990,291.609985,292.269989,291.035553,21843500
2020-11-18,291.700012,293.369995,290.019989,290.109985,288.884674,28069600
2020-11-19,289.540009,292.700012,288.850006,292.380005,291.145142,22718400
2020-11-20,292.299988,293.070007,290.290009,290.380005,289.153564,25907300
2020-11-23,291.410004,292.750000,288.070007,290.390015,289.163574,26875600
2020-11-24,291.489990,294.980011,289.630005,294.470001,293.226288,24516800
2020-11-25,295.570007,296.940002,294.589996,296.279999,295.028656,23326800
2020-11-27,298.309998,300.170013,297.899994,299.010010,297.747131,17163100
2020-11-30,299.339996,299.970001,294.779999,299.619995,298.354523,27836200
2020-12-01,301.970001,305.140015,300.829987,303.459991,302.178314,27521300
2020-12-02,302.250000,304.200012,300.350006,303.850006,302.566681,23620000
2020-12-03,304.170013,305.880005,303.529999,304.279999,302.994873,22828700
2020-12-04,304.329987,305.670013,303.630005,305.519989,304.229614,19332100
2020-12-07,305.709991,307.630005,305.519989,307.250000,305.952301,20851000
2020-12-08,306.760010,308.600006,304.950012,308.290009,306.987915,18341500
2020-12-09,308.070007,308.359985,300.209991,301.309998,300.037384,48839300
2020-12-10,299.209991,303.679993,298.089996,302.519989,301.242279,27519500
2020-12-11,300.809998,301.980011,298.470001,301.850006,300.575134,26760400
2020-12-14,303.079987,306.049988,303.010010,304.040009,302.755890,28804800
2020-12-15,306.369995,307.290009,304.109985,307.290009,305.992157,25709000
2020-12-16,307.700012,309.790009,306.619995,308.980011,307.675018,25461900
2020-12-17,310.630005,311.239990,309.390015,311.000000,309.686493,23730500
2020-12-18,311.660004,311.980011,307.609985,310.059998,308.750427,41173400
2020-12-21,306.459991,309.470001,303.600006,308.920013,308.172852,37095500
2020-12-22,309.850006,310.709991,306.850006,309.760010,309.010803,26176300
2020-12-23,309.809998,310.179993,308.040009,308.200012,307.454590,21201300
2020-12-24,308.470001,310.019989,308.390015,309.559998,308.811310,16785000
2020-12-28,312.250000,313.170013,310.359985,312.679993,311.923767,22497700
2020-12-29,314.049988,314.690002,312.029999,312.959991,312.203064,25871900
2020-12-30,314.160004,314.489990,312.329987,312.970001,312.213074,18138100
2020-12-31,312.869995,314.239990,311.760010,313.739990,312.981171,21611400
2021-01-04,315.109985,315.290009,305.179993,309.309998,308.561890,45305900
2021-01-05,308.290009,312.140015,308.290009,311.859985,311.105743,29323400
2021-01-06,307.000000,311.880005,305.980011,307.540009,306.796173,52809600
2021-01-07,310.279999,315.839996,310.250000,314.980011,314.218201,30394800
2021-01-08,317.339996,319.390015,315.079987,319.029999,318.258392,33955800
2021-01-11,315.980011,317.190002,313.750000,314.420013,313.659576,32746400
2021-01-12,314.459991,315.579987,311.200012,313.920013,313.160736,29266800
2021-01-13,314.190002,316.859985,313.570007,316.040009,315.275635,22898400
2021-01-14,316.500000,317.529999,313.859985,314.350006,313.589722,23500100
2021-01-15,314.130005,315.119995,310.579987,311.859985,311.105743,35118700
2021-01-19,314.250000,316.929993,313.119995,316.410004,315.644745,24537000
2021-01-20,320.140015,324.739990,316.510010,323.769989,322.986908,30728100
2021-01-21,325.149994,327.130005,323.730011,326.359985,325.570648,25130600
2021-01-22,325.290009,326.459991,324.709991,325.420013,324.632935,21609400
2021-01-25,328.910004,330.320007,321.410004,328.109985,327.316406,39080600
2021-01-26,328.850006,329.760010,327.220001,328.589996,327.795258,25498100
