Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,269.989990,272.269989,269.899994,272.000000,267.168732,2122900
2020-08-06,271.630005,274.029999,271.570007,273.899994,269.035034,1948100
2020-08-07,273.230011,274.820007,272.480011,274.619995,269.742218,2311300
2020-08-10,275.510010,278.279999,275.480011,278.140015,273.199738,2313900
2020-08-11,280.899994,281.779999,276.470001,277.190002,272.266602,4546400
2020-08-12,279.839996,280.739990,278.720001,280.040009,275.065979,2641600
2020-08-13,279.130005,280.220001,278.230011,279.420013,274.457001,1668300
2020-08-14,278.230011,280.160004,277.899994,279.799988,274.830200,2247000
2020-08-17,280.140015,280.250000,278.500000,278.950012,273.995392,2436900
2020-08-18,279.100006,279.369995,277.109985,278.200012,273.258636,1678300
2020-08-19,278.679993,279.739990,276.970001,277.429993,272.502319,3374300
2020-08-20,276.040009,278.339996,275.869995,277.869995,272.934570,2063700
2020-08-21,277.040009,279.609985,276.859985,279.290009,274.926880,2601200
2020-08-24,281.720001,283.250000,280.470001,283.179993,278.756073,2622800
2020-08-25,284.230011,284.230011,281.019989,282.619995,278.204865,3346000
2020-08-26,282.609985,283.609985,281.570007,283.429993,279.002258,2647500
2020-08-27,284.440002,286.450012,283.679993,285.040009,280.587067,3432800
2020-08-28,286.230011,287.450012,285.000000,286.700012,282.221161,2715500
2020-08-31,286.260010,286.339996,283.890015,284.279999,279.838928,4070100
2020-09-01,283.730011,286.929993,283.170013,286.790009,282.309784,3023600
2020-09-02,288.079987,292.059998,287.600006,291.209991,286.660675,3464300
2020-09-03,290.970001,292.359985,281.100006,283.339996,278.913635,6118500
2020-09-04,284.910004,285.790009,277.010010,281.769989,277.368134,7145800
2020-09-08,278.820007,278.829987,275.010010,275.420013,271.117371,4780100
2020-09-09,278.089996,282.489990,277.390015,279.850006,275.478149,3488900
2020-09-10,281.130005,282.170013,274.850006,275.790009,271.481598,3455800
2020-09-11,276.950012,278.820007,274.959991,277.089996,272.761261,2787500
2020-09-14,278.920013,281.429993,278.670013,280.529999,276.147522,2371700
2020-09-15,282.420013,282.899994,279.880005,280.579987,276.196747,2331800
2020-09-16,281.540009,284.230011,280.779999,281.029999,276.639709,2651800
2020-09-17,277.690002,281.149994,277.089996,279.570007,275.202515,3305300
2020-09-18,279.019989,279.399994,274.769989,276.519989,272.851135,3156700
2020-09-21,271.579987,272.170013,267.049988,271.440002,267.838562,5936900
2020-09-22,271.670013,273.239990,269.790009,272.809998,269.190369,3169800
2020-09-23,274.179993,274.589996,267.079987,267.579987,264.029724,3575900
2020-09-24,266.859985,270.880005,265.269989,268.100006,264.542847,4432100
2020-09-25,266.760010,272.309998,266.230011,271.700012,268.095062,3606800
2020-09-28,275.260010,277.119995,274.720001,275.899994,272.239349,2790200
2020-09-29,275.600006,275.980011,273.290009,274.420013,270.779022,1971100
2020-09-30,275.000000,280.170013,275.000000,277.500000,273.818115,4028500
2020-10-01,279.329987,280.350006,276.570007,278.140015,274.449646,2968000
2020-10-02,274.170013,278.510010,273.600006,276.799988,273.127411,4771600
2020-10-05,278.790009,281.589996,278.750000,281.510010,277.774994,1862500
2020-10-06,282.540009,283.519989,277.239990,277.720001,274.035217,4364400
2020-10-07,280.279999,283.670013,280.230011,282.920013,279.166229,2422600
2020-10-08,284.519989,284.679993,282.690002,284.290009,280.518066,2148000
2020-10-09,285.609985,286.809998,284.410004,285.929993,282.136292,2549100
