Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,45.950001,46.230000,44.939999,45.520000,45.520000,3714900
2020-08-06,46.209999,46.450001,43.439999,44.439999,44.439999,4354700
2020-08-07,42.709999,43.200001,40.770000,41.610001,41.610001,7229900
2020-08-10,42.000000,42.064999,40.240002,41.000000,41.000000,5301600
2020-08-11,41.290001,41.430000,40.119999,40.340000,40.340000,3668100
2020-08-12,40.730000,41.419998,40.284000,40.939999,40.939999,2639700
2020-08-13,41.599998,42.189999,41.119999,41.750000,41.750000,3805700
2020-08-14,41.939999,42.419998,40.900002,41.580002,41.580002,2892700
2020-08-17,42.112000,43.599998,41.955002,43.490002,43.490002,2866000
2020-08-18,43.810001,45.439999,43.810001,45.310001,45.310001,4733500
2020-08-19,44.980000,45.799999,44.380001,45.270000,45.270000,3066000
2020-08-20,45.000000,45.669998,44.689999,45.070000,45.070000,2200000
2020-08-21,44.570000,45.619999,44.549999,44.990002,44.990002,2832100
2020-08-24,46.320000,48.340000,45.634998,46.119999,46.119999,5653000
2020-08-25,45.910000,47.299999,45.049999,47.000000,47.000000,5175600
2020-08-26,47.290001,49.980000,47.235001,48.720001,48.720001,7254100
2020-08-27,45.784000,46.380001,43.799999,45.139999,45.139999,12618400
2020-08-28,45.709999,48.860001,45.509998,47.389999,47.389999,7694100
2020-08-31,47.110001,49.889999,46.715000,47.250000,47.250000,7712100
2020-09-01,48.380001,52.650002,47.759998,52.250000,52.250000,10167200
2020-09-02,52.997002,54.000000,49.599998,50.880001,50.880001,5507200
2020-09-03,49.000000,49.250000,46.509998,47.270000,47.270000,5698000
2020-09-04,46.970001,48.000000,43.939999,47.020000,47.020000,6282200
2020-09-08,44.500000,45.590000,42.919998,44.389999,44.389999,6337100
2020-09-09,45.200001,45.549999,44.110001,45.099998,45.099998,2912000
2020-09-10,44.919998,45.740002,42.709999,42.970001,42.970001,4391000
2020-09-11,43.770000,44.439999,42.383999,43.020000,43.020000,2846700
2020-09-14,43.650002,44.639999,43.209999,43.950001,43.950001,3478300
2020-09-15,45.000000,46.389999,44.900002,45.389999,45.389999,5054500
2020-09-16,45.520000,45.650002,43.740002,44.150002,44.150002,3187400
2020-09-17,42.771000,44.230000,42.540001,44.220001,44.220001,3493400
2020-09-18,44.470001,44.549999,41.639999,43.080002,43.080002,5182500
2020-09-21,41.669998,43.130001,41.400002,43.090000,43.090000,3246900
2020-09-22,43.340000,43.549999,42.400002,43.310001,43.310001,2941000
2020-09-23,43.020000,43.150002,41.220001,41.849998,41.849998,2661000
2020-09-24,41.430000,42.259998,40.400002,41.889999,41.889999,3312600
2020-09-25,41.660000,42.450001,41.220001,42.200001,42.200001,2577500
2020-09-28,42.619999,43.009998,40.889999,41.810001,41.810001,2823900
